ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime
4443,Airplane!,1980,7+,7.7,97%,0,0,1,0,0,"Jim Abrahams,David Zucker,Jerry Zucker",Comedy,United States,English,88
4448,Lady Bird,2017,18+,7.4,99%,0,0,1,0,0,Greta Gerwig,"Comedy,Drama",United States,"English,Spanish",94
4451,The Big Sick,2017,18+,7.5,98%,0,0,1,0,0,Michael Showalter,"Comedy,Drama,Romance",United States,"English,Urdu",120
4453,The Man from Nowhere,2010,18+,7.8,100%,0,0,1,0,0,Jeong-beom Lee,"Action,Drama,Thriller",South Korea,"Korean,English",119
4454,Short Term 12,2013,18+,8,98%,0,0,1,0,0,Destin Daniel Cretton,Drama,United States,English,96
4458,The Machinist,2004,18+,7.7,77%,0,0,1,0,0,Brad Anderson,"Drama,Thriller","Spain,France,United Kingdom,United States","English,Spanish",101
4460,Dear Zachary: A Letter to a Son About His Father,2008,18+,8.6,94%,0,0,1,0,0,Kurt Kuenne,"Documentary,Biography,Crime,Drama",United States,English,95
4462,The Disaster Artist,2017,18+,7.4,91%,0,0,1,0,0,James Franco,"Biography,Comedy,Drama",United States,English,104
4464,Pi,1998,18+,7.4,88%,0,0,1,0,0,Darren Aronofsky,"Drama,Horror,Mystery,Sci-Fi,Thriller",United States,"English,Hebrew",84
4465,The Lighthouse,2019,18+,7.6,90%,0,0,1,0,0,Robert Eggers,"Drama,Fantasy,Horror,Mystery","Canada,United States",English,109
4466,The Farewell,2019,7+,7.6,98%,0,0,1,0,0,Lulu Wang,"Comedy,Drama","United States,China","Mandarin,English,Japanese,Italian",100
4474,Stop Making Sense,1984,18+,8.6,100%,0,0,1,0,0,Jonathan Demme,"Documentary,Music",United States,English,88
4475,Eighth Grade,2018,18+,7.4,99%,0,0,1,0,0,Bo Burnham,"Comedy,Drama",United States,English,93
4477,Temple Grandin,2010,7+,8.3,100%,0,0,1,0,0,Mick Jackson,"Biography,Drama",United States,English,107
4478,The Lincoln Lawyer,2011,18+,7.3,84%,0,0,1,0,0,Brad Furman,"Crime,Drama,Thriller",United States,English,118
4483,Logan Lucky,2017,13+,7,92%,0,0,1,0,0,Steven Soderbergh,"Comedy,Crime,Drama","United States,China",English,118
4484,The Act of Killing,2012,18+,8.2,95%,0,0,1,0,0,"Joshua Oppenheimer,Anonymous,Christine Cynn","Documentary,Biography,Crime,History","United Kingdom,Denmark,Norway","Indonesian,English",117
4485,Leave No Trace,2018,7+,7.2,100%,0,0,1,0,0,Debra Granik,Drama,"United States,Canada",English,109
4488,Escape from New York,1981,18+,7.2,86%,0,0,1,0,0,John Carpenter,"Action,Adventure,Sci-Fi",United States,English,99
4490,Inside Llewyn Davis,2013,18+,7.5,92%,0,0,1,0,0,"Ethan Coen,Joel Coen","Comedy,Drama,Music","United States,United Kingdom,France",English,104
4493,Pride,2014,18+,7.8,91%,0,0,1,0,0,Matthew Warchus,"Biography,Comedy,Drama,History,Romance","United Kingdom,France,United States","English,Welsh",119
